地区,区域,生活垃圾卫生填埋无害化处理量,生活垃圾卫生焚烧无害化处理量
北京,华北地区,393.8,399.7
天津,华北地区,142,136.5
河北,华北地区,386.1,343.3
山西,华北地区,345.5,122.6
内蒙古,华北地区,255.5,93.1
辽宁,东北地区,734.3,67.2
吉林,东北地区,270.3,132.2
黑龙江,东北地区,349.3,100.5
上海,华东地区,394.3,386
江苏,华东地区,348.9,1328.7
浙江,华东地区,454.8,981.3
安徽,华东地区,179.5,420.3
福建,华东地区,254.3,585.3
江西,华东地区,335,113.8
山东,华东地区,499.4,1116.4
河南,华中地区,807.7,207.5
湖北,华中地区,501.6,409.3
湖南,华中地区,508.9,311.5
广东,华南地区,1739.4,1241.7
广西,华南地区,313,153.5
海南,华南地区,80.7,133.7
重庆,西南地区,292.1,256.9
四川,西南地区,439.7,558.2
贵州,西南地区,184.8,130.4
云南,西南地区,175.2,252.6
西藏,西南地区,23.3,28.5
陕西,西北地区,642.8,
甘肃,西北地区,159.4,109
青海,西北地区,90.7,
宁夏,西北地区,64.4,49.9
新疆,西北地区,339.3,15.5
